1,55,61,91,207,69
2,78,98,58,234,78
3,97,95,58,250,83
4,90,88,64,242,80
5,51,83,80,214,71
6,86,67,78,231,77
7,98,82,64,244,81
8,63,66,75,204,68
9,74,99,82,255,85
10,93,95,73,261,87
11,95,66,58,219,73
12,63,70,52,185,61
13,57,100,59,216,72
14,84,69,81,234,78
15,58,94,93,245,81
16,95,77,63,235,78
17,73,53,70,196,65
18,56,93,71,220,73
19,59,93,61,213,71
20,51,58,83,192,64
21,63,79,69,211,70
22,92,97,59,248,82
23,75,75,53,203,67
24,97,85,67,249,83
25,83,100,67,250,83
26,53,91,98,242,80
27,60,87,61,208,69
28,71,69,55,195,65
29,77,74,72,223,74
30,55,100,65,220,73
